,T03,T04,T05,T06,T01,T07,T09,T10,T11,T02
103,4571.0,6427.0,0.0,8812.0,4924.0,5102.0,9852.0,0.0,0.0,1472
104,4649.0,6414.0,0.0,8610.0,4950.0,5004.0,10043.0,0.0,0.0,1473
105,5205.0,6550.0,0.0,8410.0,4853.0,5109.0,9888.0,0.0,0.0,1483
106,5855.0,6547.0,0.0,8533.0,4979.0,5320.0,9886.0,0.0,0.0,1358
107,5849.0,6387.0,0.0,8421.0,4859.0,5091.0,9892.0,0.0,0.0,1112
108,5553.0,6715.0,0.0,8609.0,4780.0,5122.0,10156.0,0.0,0.0,1484
109,5504.0,7479.0,0.0,8573.0,4891.0,5117.0,9953.0,0.0,0.0,1456
110,5983.0,7368.0,0.0,8425.0,4843.0,5102.0,10198.0,0.0,0.0,1564
111,5598.0,7388.0,0.0,8877.0,4991.0,5108.0,9532.0,0.0,0.0,1574
112,5993.0,7415.0,0.0,8827.0,5004.0,5191.0,10204.0,0.0,0.0,1595
113,5696.0,7466.0,0.0,8521.0,5027.0,5211.0,10280.0,0.0,0.0,1514
114,5717.0,7322.0,0.0,9104.0,4949.0,4878.0,10482.0,0.0,0.0,1619
115,5705.0,7555.0,0.0,8720.0,4824.0,5015.0,10546.0,0.0,0.0,1579
116,6130.0,7546.0,0.0,8757.0,5038.0,5219.0,10306.0,0.0,0.0,1545
117,6301.0,7410.0,0.0,8855.0,4851.0,5165.0,10060.0,0.0,0.0,1525
118,5621.0,7460.0,0.0,8763.0,5055.0,5276.0,10332.0,0.0,0.0,1548
119,5680.0,7632.0,0.0,7772.0,4091.0,5121.0,10319.0,0.0,0.0,1525
120,5881.0,6644.0,0.0,8736.0,5013.0,5018.0,9474.0,0.0,0.0,1516
121,6098.0,7656.0,0.0,9009.0,5002.0,5239.0,10349.0,0.0,0.0,1632
122,6118.0,7846.0,0.0,9031.0,5028.0,4818.0,10160.0,0.0,0.0,1641
123,6175.0,7869.0,0.0,8317.0,5027.0,4603.0,10600.0,0.0,0.0,1624
124,6392.0,7912.0,0.0,8767.0,5040.0,5260.0,10278.0,0.0,0.0,1555
125,6936.0,7947.0,0.0,9178.0,4981.0,5030.0,10292.0,0.0,0.0,1635
126,6408.0,7823.0,0.0,8901.0,5006.0,5125.0,10292.0,0.0,0.0,1662
127,7387.0,8140.0,0.0,8949.0,4947.0,5235.0,10555.0,0.0,0.0,1626
128,6778.0,7875.0,0.0,9164.0,5116.0,5253.0,10107.0,0.0,0.0,1643
129,7628.0,8062.0,0.0,9202.0,5109.0,5162.0,10348.0,0.0,0.0,1684
130,6652.0,8736.0,0.0,9422.0,5116.0,5255.0,10370.0,0.0,0.0,1718
131,7761.0,9364.0,0.0,8855.0,5076.0,5153.0,10646.0,0.0,0.0,1720
132,6651.0,10495.0,0.0,9111.0,4992.0,5250.0,10636.0,0.0,0.0,1721
133,8345.0,9904.0,0.0,9199.0,5186.0,5231.0,10864.0,0.0,0.0,1777
134,6677.0,10354.0,0.0,9975.0,5058.0,5353.0,10212.0,0.0,0.0,1786
135,8731.0,10314.0,0.0,22185.0,5030.0,5030.0,10450.0,0.0,0.0,1764
136,6802.0,10688.0,0.0,15056.0,5134.0,5111.0,10655.0,0.0,0.0,1869
137,9706.0,11021.0,0.0,18335.0,5164.0,5119.0,10493.0,0.0,0.0,1759
138,6795.0,11129.0,0.0,16665.0,5084.0,5149.0,10480.0,0.0,0.0,1791
139,9389.0,10917.0,0.0,20699.0,5126.0,5149.0,10936.0,0.0,0.0,1827
140,6467.0,10972.0,0.0,17141.0,5217.0,5367.0,10522.0,0.0,0.0,1852
141,9494.0,10782.0,0.0,17446.0,5031.0,5372.0,10499.0,0.0,0.0,1791
142,9777.0,11116.0,0.0,16718.0,5250.0,5164.0,10757.0,0.0,0.0,1821
143,6490.0,11083.0,0.0,18137.0,5113.0,5282.0,10515.0,0.0,0.0,1786
144,9361.0,10904.0,0.0,18934.0,5135.0,5259.0,10489.0,0.0,0.0,1741
145,5897.0,10950.0,0.0,18423.0,5033.0,5169.0,10555.0,0.0,0.0,1744
146,9386.0,11158.0,0.0,18301.0,5055.0,5250.0,10737.0,0.0,0.0,1802
147,6212.0,11057.0,0.0,18723.0,5185.0,5146.0,11014.0,0.0,0.0,1613
148,9544.0,10794.0,0.0,19723.0,5184.0,5029.0,10764.0,0.0,0.0,1286
149,5835.0,11629.0,0.0,20045.0,5277.0,5144.0,10567.0,0.0,0.0,1838
150,9903.0,4919.0,0.0,28977.0,5243.0,5144.0,10586.0,0.0,0.0,1850
151,5732.0,4975.0,0.0,28876.0,5046.0,5242.0,10597.0,0.0,0.0,1837
152,9682.0,5036.0,0.0,28411.0,5165.0,5049.0,10716.0,0.0,0.0,1859
153,6475.0,9322.0,0.0,37423.0,5179.0,5054.0,11009.0,0.0,0.0,1879
