,T03,T04,T05,T06
504,22045,0.0,0.0,0.0
505,24025,0.0,0.0,0.0
506,20885,0.0,0.0,0.0
507,20515,0.0,0.0,0.0
508,21415,0.0,0.0,0.0
509,21710,0.0,0.0,0.0
510,21365,0.0,0.0,0.0
511,21617,0.0,0.0,0.0
512,21445,0.0,0.0,0.0
513,22483,0.0,0.0,0.0
514,20504,0.0,0.0,0.0
515,21253,0.0,0.0,0.0
516,19280,0.0,0.0,0.0
517,18963,0.0,0.0,0.0
518,18330,0.0,0.0,0.0
519,19544,0.0,0.0,0.0
520,19315,0.0,0.0,0.0
521,19104,0.0,0.0,0.0
522,19327,0.0,0.0,0.0
523,19473,0.0,0.0,0.0
524,18970,0.0,0.0,0.0
525,17440,0.0,0.0,0.0
526,19785,0.0,0.0,0.0
527,19654,0.0,0.0,0.0
528,18829,0.0,0.0,0.0
529,19353,0.0,0.0,0.0
530,19054,0.0,0.0,0.0
531,17678,0.0,0.0,0.0
532,17635,0.0,0.0,0.0
533,17808,0.0,0.0,0.0
534,18624,0.0,0.0,0.0
535,19727,0.0,0.0,0.0
536,18762,0.0,0.0,0.0
537,19632,0.0,0.0,0.0
538,19054,0.0,0.0,0.0
539,19322,0.0,0.0,0.0
540,18021,0.0,0.0,0.0
541,17902,0.0,0.0,0.0
542,18402,0.0,0.0,0.0
543,19054,0.0,0.0,0.0
544,17931,0.0,0.0,0.0
545,16851,0.0,0.0,0.0
546,23169,0.0,0.0,0.0
547,23864,0.0,0.0,0.0
548,23378,0.0,0.0,0.0
549,22114,0.0,0.0,0.0
550,24334,0.0,0.0,0.0
551,24668,0.0,0.0,0.0
552,23924,0.0,0.0,0.0
553,24187,0.0,0.0,0.0
554,23652,0.0,0.0,0.0
555,21321,0.0,0.0,0.0
556,22539,0.0,0.0,0.0
557,20967,0.0,0.0,0.0
558,17846,0.0,0.0,0.0
559,21963,0.0,0.0,0.0
560,22337,0.0,0.0,0.0
561,21285,0.0,0.0,0.0
562,22694,0.0,0.0,0.0
563,20135,0.0,0.0,0.0
564,21101,0.0,0.0,0.0
565,22775,0.0,0.0,0.0
566,23634,0.0,0.0,0.0
567,22918,0.0,0.0,0.0
568,21248,0.0,0.0,0.0
569,19966,0.0,0.0,0.0
570,20498,0.0,0.0,0.0
571,22290,0.0,0.0,0.0
572,23687,0.0,0.0,0.0
573,22858,0.0,0.0,0.0
574,22303,0.0,0.0,0.0
575,19206,0.0,0.0,0.0
576,18037,0.0,0.0,0.0
577,18538,0.0,0.0,0.0
578,19297,0.0,0.0,0.0
579,18877,0.0,0.0,0.0
580,17293,0.0,0.0,0.0
581,18412,0.0,0.0,0.0
582,16483,0.0,0.0,0.0
583,16868,0.0,0.0,0.0
584,17687,0.0,0.0,0.0
585,16881,0.0,0.0,0.0
586,15702,0.0,0.0,0.0
587,18129,0.0,0.0,0.0
588,18365,0.0,0.0,0.0
589,18263,0.0,0.0,0.0
590,17109,0.0,0.0,0.0
591,17732,0.0,0.0,0.0
592,18350,0.0,0.0,0.0
593,21732,0.0,0.0,0.0
594,20254,0.0,0.0,0.0
595,19743,0.0,0.0,0.0
596,19556,0.0,0.0,0.0
597,21243,0.0,0.0,0.0
598,19454,0.0,0.0,0.0
599,20864,0.0,0.0,0.0
600,19827,0.0,0.0,0.0
601,20715,0.0,0.0,0.0
602,20457,0.0,0.0,0.0
603,21342,0.0,0.0,0.0
604,22600,0.0,0.0,0.0
605,23501,0.0,0.0,0.0
606,23074,0.0,0.0,0.0
607,23039,0.0,0.0,0.0
608,23000,0.0,0.0,0.0
609,22790,0.0,0.0,0.0
610,19983,0.0,0.0,0.0
611,21190,0.0,0.0,0.0
612,23061,0.0,0.0,0.0
613,21618,0.0,0.0,0.0
614,19677,0.0,0.0,0.0
615,20681,0.0,0.0,0.0
616,22480,0.0,0.0,0.0
617,22018,0.0,0.0,0.0
618,25396,0.0,0.0,0.0
619,21417,0.0,0.0,0.0
620,20682,0.0,0.0,0.0
621,25903,0.0,0.0,0.0
622,23215,0.0,0.0,0.0
623,25081,0.0,0.0,0.0
624,23698,0.0,0.0,0.0
625,23710,0.0,0.0,0.0
626,21489,0.0,0.0,0.0
627,22637,0.0,0.0,0.0
628,22834,0.0,0.0,0.0
629,21196,0.0,0.0,0.0
