,T03,T04,T05,T06,T02,index
995,37650.0,0.0,0.0,0.0,1286,190
1006,0.0,0.0,0.0,0.0,1838,191
1017,0.0,0.0,0.0,0.0,1869,192
1028,0.0,0.0,0.0,0.0,1837,193
1039,0.0,0.0,0.0,0.0,1877,194
1049,0.0,0.0,0.0,0.0,1898,195
1060,0.0,0.0,0.0,0.0,1657,196
1071,0.0,0.0,0.0,0.0,1888,197
1082,0.0,0.0,0.0,0.0,1855,198
1093,0.0,0.0,0.0,0.0,1895,199
1105,0.0,0.0,0.0,0.0,1809,200
1116,0.0,0.0,0.0,0.0,1904,201
1127,0.0,0.0,0.0,0.0,1908,202
1138,0.0,0.0,0.0,0.0,1947,203
1149,0.0,0.0,0.0,0.0,1805,204
1160,0.0,0.0,0.0,0.0,1896,205
1171,0.0,0.0,0.0,0.0,1919,206
1182,0.0,0.0,0.0,0.0,1894,207
1193,0.0,0.0,0.0,0.0,1782,208
1204,0.0,0.0,0.0,0.0,1927,209
1216,0.0,0.0,0.0,0.0,1776,210
1227,0.0,0.0,0.0,0.0,1842,211
1238,0.0,0.0,0.0,0.0,1216,212
1249,0.0,0.0,0.0,0.0,1527,213
1260,0.0,0.0,0.0,0.0,1590,214
1271,0.0,0.0,0.0,0.0,1812,215
1282,0.0,0.0,0.0,0.0,1550,216
1293,0.0,0.0,0.0,0.0,1645,217
1304,0.0,0.0,0.0,0.0,1815,218
1315,0.0,0.0,0.0,0.0,1875,219
1327,0.0,0.0,0.0,0.0,1759,220
1338,0.0,0.0,0.0,0.0,1785,221
1349,0.0,0.0,0.0,0.0,1806,222
1360,0.0,0.0,0.0,0.0,1867,223
1371,0.0,0.0,0.0,0.0,1841,224
1382,0.0,0.0,0.0,0.0,1777,225
1393,0.0,0.0,0.0,0.0,1811,226
1404,0.0,0.0,0.0,0.0,1681,227
1415,0.0,0.0,0.0,0.0,1798,228
1426,0.0,0.0,0.0,0.0,1696,229
1438,0.0,0.0,0.0,0.0,1656,230
1459,0.0,0.0,0.0,0.0,1225,232
1470,0.0,0.0,0.0,0.0,1706,233
1481,0.0,0.0,0.0,0.0,1762,234
1492,0.0,0.0,0.0,0.0,1752,235
1501,0.0,0.0,0.0,0.0,1845,236
1512,0.0,0.0,0.0,0.0,1798,237
1523,0.0,0.0,0.0,0.0,1821,238
1534,0.0,0.0,0.0,0.0,1842,239
1546,0.0,0.0,0.0,0.0,1895,240
1557,0.0,0.0,0.0,0.0,1755,241
1568,0.0,0.0,0.0,0.0,1889,242
1579,0.0,0.0,0.0,0.0,1775,243
1590,0.0,0.0,0.0,0.0,1769,244
1601,0.0,0.0,0.0,0.0,1646,245
1612,0.0,0.0,0.0,0.0,1800,246
1623,0.0,0.0,0.0,0.0,1901,247
1634,0.0,0.0,0.0,0.0,1835,248
1644,0.0,0.0,0.0,0.0,1882,249
1656,0.0,0.0,0.0,0.0,1870,250
1659,0.0,0.0,0.0,0.0,1704,251
1660,0.0,0.0,0.0,0.0,1790,252
1661,0.0,0.0,0.0,0.0,1851,253
1662,0.0,0.0,0.0,0.0,1869,254
1663,0.0,0.0,0.0,0.0,1793,255
1664,0.0,0.0,0.0,0.0,1910,256
1665,0.0,0.0,0.0,0.0,1906,257
1666,0.0,0.0,0.0,0.0,1969,258
1667,0.0,0.0,0.0,0.0,1958,259
1669,0.0,0.0,0.0,0.0,1836,260
1670,0.0,0.0,0.0,0.0,1945,261
1671,0.0,0.0,0.0,0.0,1893,262
1672,0.0,0.0,0.0,0.0,1927,263
1673,0.0,0.0,0.0,0.0,1966,264
1674,0.0,0.0,0.0,0.0,2079,265
1675,0.0,0.0,0.0,0.0,1938,266
1676,0.0,0.0,0.0,0.0,1913,267
1677,0.0,0.0,0.0,0.0,1931,268
1678,0.0,0.0,0.0,0.0,1933,269
1680,0.0,0.0,0.0,0.0,1956,270
1681,0.0,0.0,0.0,0.0,1947,271
1682,0.0,0.0,0.0,0.0,1779,272
1683,0.0,0.0,0.0,0.0,1369,274
1684,0.0,0.0,0.0,0.0,1968,275
1685,0.0,0.0,0.0,0.0,1875,276
1686,0.0,0.0,0.0,0.0,1838,277
1687,0.0,0.0,0.0,0.0,1963,278
1688,0.0,0.0,0.0,0.0,1934,279
1690,0.0,0.0,0.0,0.0,1955,280
1691,0.0,0.0,0.0,0.0,1959,281
